"","1 Y 2017-04-18 to 2020-04-19","1 Y 2017-05-18 to 2020-05-19","1 Y 2017-06-19 to 2020-06-19","1 Y 2017-07-18 to 2020-07-19","1 Y 2017-08-18 to 2020-08-19","1 Y 2017-09-18 to 2020-09-19","1 Y 2017-10-18 to 2020-10-19","1 Y 2017-11-20 to 2020-11-19","1 Y 2017-12-18 to 2020-12-19","1 Y 2018-01-18 to 2021-01-19","1 Y 2018-02-20 to 2021-02-19","1 Y 2018-03-19 to 2021-03-19","1 Y 2018-04-18 to 2021-04-19","1 Y 2018-05-18 to 2021-05-19","1 Y 2018-06-18 to 2021-06-19","1 Y 2018-07-18 to 2021-07-19","1 Y 2018-08-20 to 2021-08-19","1 Y 2018-09-18 to 2021-09-19","1 Y 2018-10-18 to 2021-10-19","1 Y 2018-11-19 to 2021-11-19","1 Y 2018-12-18 to 2021-12-19","2 Y 2017-04-18 to 2020-04-19","2 Y 2017-05-18 to 2020-05-19","2 Y 2017-06-19 to 2020-06-19","2 Y 2017-07-18 to 2020-07-19","2 Y 2017-08-18 to 2020-08-19","2 Y 2017-09-18 to 2020-09-19","2 Y 2017-10-18 to 2020-10-19","2 Y 2017-11-20 to 2020-11-19","2 Y 2017-12-18 to 2020-12-19","2 Y 2018-01-18 to 2021-01-19","2 Y 2018-02-20 to 2021-02-19","2 Y 2018-03-19 to 2021-03-19","2 Y 2018-04-18 to 2021-04-19","2 Y 2018-05-18 to 2021-05-19","2 Y 2018-06-18 to 2021-06-19","2 Y 2018-07-18 to 2021-07-19","2 Y 2018-08-20 to 2021-08-19","2 Y 2018-09-18 to 2021-09-19","2 Y 2018-10-18 to 2021-10-19","2 Y 2018-11-19 to 2021-11-19","2 Y 2018-12-18 to 2021-12-19","3 Y 2017-04-18 to 2020-04-19","3 Y 2017-05-18 to 2020-05-19","3 Y 2017-06-19 to 2020-06-19","3 Y 2017-07-18 to 2020-07-19","3 Y 2017-08-18 to 2020-08-19","3 Y 2017-09-18 to 2020-09-19","3 Y 2017-10-18 to 2020-10-19","3 Y 2017-11-20 to 2020-11-19","3 Y 2017-12-18 to 2020-12-19","3 Y 2018-01-18 to 2021-01-19","3 Y 2018-02-20 to 2021-02-19","3 Y 2018-03-19 to 2021-03-19","3 Y 2018-04-18 to 2021-04-19","3 Y 2018-05-18 to 2021-05-19","3 Y 2018-06-18 to 2021-06-19","3 Y 2018-07-18 to 2021-07-19","3 Y 2018-08-20 to 2021-08-19","3 Y 2018-09-18 to 2021-09-19","3 Y 2018-10-18 to 2021-10-19","3 Y 2018-11-19 to 2021-11-19","3 Y 2018-12-18 to 2021-12-19"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.74","1.76","0.75","0.99","0.88","0.75","2.01","2.05","2.53","3.13","2.38","6.25","3.1","1.65","2.27","1.64","2.18","2.14","1.4","2.05","0.44","0.46","1.14","0.41","0.71","0.83","0.47","1.37","1.2","1.77","2.08","1.94","1.18","0.96","0.87","1.03","0.19","0.81","1.23","1.35","1.55","1.09","0.67","1.23","0.75","0.91","1.02","0.66","1.13","0.9","1.17","1.54","1.45","0.81","0.6","0.34","0.44","-0.19","0.18","0.8","0.98","1.07","0.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.63","1.43","1.61","0.79","0.78","0.61","1.42","1.19","1.48","2.18","1.24","1.67","1.17","0.92","0.99","0.74","0.88","1.13","0.3","0.5","0.31","0.31","0.7","0.67","0.66","0.59","0.24","0.65","0.45","0.62","1.03","0.9","0.52","0.46","0.26","0.26","0","0.16","0.55","0.54","0.53","0.54","0.3","0.67","0.69","0.59","0.57","0.25","0.49","0.34","0.43","0.82","0.68","0.31","0.19","0.02","0.03","-0.11","-0.05","0.3","0.28","0.26","0.26"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.08","1.26","1.33","1.3","1.33","1.28","1.28","1.22","1.23","1.23","1.31","1.09","1.08","0.97","0.96","0.94","0.98","1.01","1.17","1.1","1.06","1.13","1.23","1.26","1.26","1.3","1.26","1.24","1.19","1.2","1.19","1.18","1.17","1.16","1.12","1.13","1.12","1.12","1.12","1.15","1.17","1.16","1.11","1.2","1.23","1.22","1.25","1.22","1.22","1.18","1.19","1.2","1.19","1.18","1.18","1.14","1.14","1.14","1.15","1.16","1.16","1.17","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","80.58","73.88","75.57","72.41","76.09","87.34","85.04","90.76","92.51","89.07","93.77","93.24","82.66","78.9","81.07","91.73","91.75","61.52","80.11","73.2","76.92","86.59","79.7","80.64","80.08","82.76","90.18","85.78","91.25","91.22","86.01","89.33","93.55","92.44","92.11","92","96.23","95.46","87.41","89.99","90.53","91.92","86.73","79.5","80.21","78.78","81.04","88.61","85.51","90.52","91.44","87.94","90.34","94.02","93.02","93.42","93.54","96.83","96.17","91.07","91.76","91.94","92.16"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.9198","-40.6296","-40.9924","-40.8128","-40.89","-39.5632","-40.1936","-38.8496","-38.4542","-38.9837","-38.4356","-9.1876","-9.1045","-9.0039","-8.7487","-8.8052","-8.8805","-9.0674","-8.009","-7.1915","-7.4087","-38.9198","-40.6296","-40.9924","-40.8128","-40.89","-39.5632","-40.1936","-38.8496","-38.4542","-38.9837","-38.4356","-37.4988","-37.4301","-36.9976","-37.1818","-36.8388","-37.111","-37.7374","-38.1885","-38.6957","-38.0841","-38.9198","-40.6296","-40.9924","-40.8128","-40.89","-39.5632","-40.1936","-38.8496","-38.4542","-38.9837","-38.4356","-37.4988","-37.4301","-36.9976","-37.1818","-36.8388","-37.111","-37.7374","-38.1885","-38.6957","-38.0841"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.6719","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-7.4772","-5.6395","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.99480000000001","-6.70460000000001","-7.06740000000001","-6.88780000000001","-6.965","-5.6382","-6.26860000000001","-4.92460000000001","-4.5292","-5.0587","-4.7637","0.4169","0.5","0.6006","0.8558","0.799300000000001","0.7239","-1.5902","-2.3695","-1.979","-2.1962","-4.99480000000001","-6.70460000000001","-7.06740000000001","-6.88780000000001","-6.965","-5.6382","-6.26860000000001","-4.92460000000001","-4.5292","-5.0587","-4.5106","-3.57380000000001","-3.50510000000001","-3.0726","-3.25680000000001","-2.9138","-3.186","-3.8124","-4.2635","-4.77070000000001","-4.1591","-4.99480000000001","-6.70460000000001","-7.06740000000001","-6.88780000000001","-6.965","-5.6382","-6.26860000000001","-4.92460000000001","-4.5292","-5.0587","-4.5106","-3.57380000000001","-3.50510000000001","-3.0726","-3.25680000000001","-2.9138","-3.186","-3.8124","-4.2635","-4.77070000000001","-4.1591"
